Paper,Conference,Edition,Year
Multistage mean-variance portfolio selection in cointegrated vector autoregressive systems.,Asian Conference on Electrochemical Power Sources,4,2022
Sonorização em multimidia: tecnicas especificas para a musica digital.,EL ,8,2019
Micro-cleaved ridge lasers for optoelectronic integration on silicon.,PBIJ ,20,2020
Evaluation of methods for taxonomic relation extraction from text.,ICCSEA ,16,2021
PTTA: protocolo para distribuição de conteúdo em redes tolerantes ao atraso e desconexões.,SEAS,12,2019
Syllable-based constraints on properties of English sounds.,Sp.issue LNLM - CI & Electrical Systems ,9,2022
"Computational regulatory genomics: motifs, networks, and dynamics.",Asian Conference on Electrochemical Power Sources,3,2019
Projeto de sistemas de controle multivariáveis robustos utilizando otimização multicritérios.,SEAS,13,2017
"Desenvolvimento de Pipelines para análise de EST, bibliotecas ITS e 16S para estudos genômicos em formigas Attini.",BDBS ,19,2023
Cutting stock problems with usable leftover and symmetry breaking.,CSEIJ ,8,2022
La evaluación en la biblioteca universitaria brasileña: evolución y propuesta de mejora.,MEAP ,7,2019
Teoria Estatística da Informação para Dados de Radar de Abertura Sintética Univariados e Polarimétricos.,Annual International Conference on Real Options,14,2021
Management structures of information for business intelligence in organizations and the individual impact on activities (Estruturas de gestão de informações para inteligência de negócio nas organizações e o impacto individual nas atividades).,International Congress of Americanists,1,2020
"Registro de informação no Sistema de Informação em Saúde: um estudo das bases SINASC, SIAB e SIM no Estado de Alagoas.",AIMS Meeting,6,2021
Principles of backlog balancing for rate-based flow control and congestion control in ATM networks.,IJMECH ,8,2019
Incorporando a gestão da sustentabilidade aos sistemas de inteligência de negócio.,IDC ,10,2022
Simulação de escoamentos com superficies livres em um ambiente de memoria distribuida.,I4CS ,9,2020
A framework for content and navigation adaptation in electronic government portals.,IJDMS ,12,2020
ONNIS-GI: uma rede neural oscilatória para segmentação de imagens implementada em arquitetura maciçamente paralela.,SPM ,7,2020
Instalações interativas computacionais: exercícios de contemplação interfaceada de sensações.,IJEL ,17,2023
Statistical object recognition.,Comunica2,13,2021
Modelo de fechamento para o tensor de interface no modelo de dois fluidos: modelagem matemática e simulação numérica.,"CCAT--Ei, Scopus ",1,2021
Graphical models and message-passing algorithms for network-constrained decision problems.,IJITMC ,12,2021
Simulação numérica da interação solo-estaca pelo método dos elementos finitos.,IJCSA ,20,2021
Wave Ship Interaction in Transforming Seas.,Conference on Information Technology,10,2022
"Modelo e framework para o desenvolvimento de ferramentas analíticas de apoio ao ensino, aprendizagem e gestão educacional.",ArIT ,16,2017
Spatial resolution estimation of CBERS CCD camera.,CBDA ,9,2022
Violência contra a criança no estado da Bahia.,DaMi ,9,2019
電腦下鄉: 湖北家庭電腦用戶的民族志研究 = Computers to the countryside: an ethnographic study of household computer users in Hubei.,The Science of Consciousness,10,2018
Multiple-user quantum optical communication.,SEC ,17,2023
Learning task-specific similarity.,BDAP ,2,2023
Simple linear classifiers via discrete optimization: learning certifiably optimal scoring systems for decision-making and risk assessment.,DMAP ,13,2022
Insertion of Phasetype Distributions in Markov Decision Models.,Asia-Pacific Regional Conference on Service-Learning,5,2022
Classificador hierárquico multirrótulo usando uma rede neural competitiva.,IJMSA ,16,2019
Arquitetura multimodal da representação da Geoinformação: uma proposta.,IJANS ,14,2020
Hierarchical Bayesian approaches to seismic imaging and other geophysical inverse problems.,IDC ,2,2021
Information management: building a SAMU database in Petrolina-PE.,ICAIT ,19,2023
Information-theoretic metrics for security and privacy.,CASA--SCI ,11,2022
Modelo para descoberta de conhecimento baseado em associação semântica e temporal entre elementos textuais.,"IEEE SEAI--EI Compendex, Scopus",8,2022
Modelo integrado de gestão de negócios de pequeno e médio porte.,IJIST ,16,2022
Um método para otimização de descritores multiescala em análise de formas.,IJCAx,17,2019
Exception handling in the development of fault-tolerant component-based systems.,IJCSEIT ,18,2018
A wearable Transcranial Doppler ultrasound phased array system.,International Congress of Actuaries,4,2020
"Design, process, and reliability considerations in silicon-on-insulator (SOI) MOSFETs.",DMDBS ,9,2022
Uma heurística de decisão baseada na subtração de cubos para solucionadores DPLL do problema de satisfabilidade.,IJGCA ,6,2022
Um estudo sobre a relação entre o uso das NTICE na educação corporativa e a gestão do conhecimento de uma instituição pública: o caso do TCU.,SAIM ,3,2018
Canais matriciais multiplicativos sobre corpos e anéis finitos com aplicações em codificação de rede.,IJNGN ,8,2022
Peer-to-peer and cheat-resistant support for massively multiplayer online games.,CMIT ,14,2023
DHash table.,MLAINLP ,12,2019
Um algoritmo tipo RLS Baseado EM SuperfíCies nãO QuadráTicas.,Georgetown Leadership Seminar,10,2020
Emaranhamento em Sistemas de Muitos Férmions.,DTMN ,16,2017
"Vision, instruction, and action.",WiMoA ,19,2021
Perceptually-based language to simplify sketch recognition user interface development.,NLPI ,3,2020
Model-code separation architectures for compression based on message-passing.,IEEE-Ei/Scopus-CTISC ,17,2017
Facework via E-Mail: Interação Estratégica no Ensino a Distância.,NeTCoM ,13,2021
"Modulador espacial de luz para processos quânticos: algoritmo de Deutsch, concentração de emaranhamento e simulação de sistemas quânticos abertos.",The Science of Consciousness,14,2017
Solução analítica da equação de ordenadas discretas multidimensional.,CCSIT ,5,2018
"Modular multicore processor architecture, flexible, securi and fault tolerant, to embedded cyber-physical systems (Arquitetura modular de processador multicore, flexível, segura e tolerante a falhas, para sistemas embarcados ciberfísicos).",IJMNCT ,14,2021
Generalized pattern matching applied to genetic analysis.,"ACCC--Ei Compendex, Scopus ",5,2019
E-mediation: mapeamento de indícios de mediação por meio de um sistema de mineração de textos.,International Conference on Information Systems Security and Privacy,6,2023
Cartografia multimídia: interatividade em projetos cartográficos.,AIAD ,16,2019
"A serverless, wide-area version control system.",DTMN ,6,2019
Programmable multi-cluster noc architecture to support collective communication patterns.,SP ,2,2017
Automating abstraction functions.,IJCAx,9,2018
"Analysis of adipocytes changes by computer-assisted imaging process in abdominal wall adipose tissue after local hypercapnia (Avaliação por processamento de imagem assistida por computador das alterações citométricas dos adipócitos do tecido celular subcutâneo da parede anterior do abdome, após hipercapnia local).",IJPLA ,19,2023
A framework for low-complexity iterative interference cancellation in communication systems.,International Conference on Parallel and Distributed Systems,16,2023
Avaliação da política educacional de tecnologia da informação e comunicação: o caso do programa Um Computador por Aluno em Caetés/PE.,IJCI ,5,2021
Fractal summarization.,EI/Scopus--SPISCS ,14,2020
An ultra low power implantable neural recording system for brain-machine interfaces.,Abstract management,16,2020
Identificação e Análise de Comportamentos Anômalos.,IJITCS ,2,2021
Impact of uniaxial strain on P-channel 111-V quantum-well field effect transistors.,IEIJ ,12,2017
Tecnologias adaptativas aplicadas na flexibilização de redes neurais artificiais e redes de Petri.,Association for Machines and Mechanisms,17,2018
A computer simulation proposal for radiographic systems evaluation by the transfer functions method (Proposta de simulação computacional para avaliação de sistemas de imagem radiológica pelo método das funções de transferência).,IC2E ,1,2022
Sistema integrado de controle de incendios florestais para o estado do Paraná.,EAMM ,8,2018
Avaliação de competências em curso de especialização a distância via web.,International Congress of Americanists,12,2019
Phase-sensitive light: coherence theory and applications to optical imaging.,WBC ,4,2020
Raman spectroscopy of SWNTs.,ACIJ,19,2019
Self tailorable website interfaces: contributions towards the Design for All.,Association for Logic Language and Information,3,2023
Lottery and stride scheduling: flexible proportional-share resource management.,ITCSE ,10,2019
Quantum signal processing.,AMMS--EI and Scopus,17,2021
Composable system resources as an architecture for networked systems.,"ACM--VRIP--EI, Scopus ",11,2020
Integrated silicon pressure sensors using wafer bonding technology.,EL ,5,2019
Quantum Circuits for Symmetric Cryptanalysis.,ICAIT ,12,2023
Applications of numerical models for rough surface scattering.,EI/Scopus--AEEGE ,6,2023
Metodo dos volumes finitos aplicado a modelagem matematica e simulação computacional de um forno aquecido por jato de chama com escoamento em vortice.,CSEIJ ,1,2018
Scale independent piecewise smooth segmentation of images via variational methods.,IC2E ,5,2018
Gerenciamento de recursos Dirigido por Modelos: Adaptabilidade E Interoperabilidade no Suporte a QoS FIM-a-FIM.,SERA ,1,2021
Modeling and controlling topographical nonuniformity in thermoplastic micro- and nano-embossing.,IJNSA ,6,2017
Rede de autoridades e apoio às interações sociais na Web: uma abordagem culturalmente informada.,ITCON ,2,2020
Estudo comparativo entre a tomografia computadorizada e a tomografia volumétrica na confecção de modelos de prototipagem.,"IEEE SEAI--EI Compendex, Scopus",9,2023
Connections between circuit analysis problems and circuit lower bounds.,SOENG ,20,2017
Pessoas com autismo em ambientes digitais de aprendizagem: estudo dos processos de interação social e mediação.,Conference on Information Technology,2,2022
Language processing in real and artificial neural networks.,Sp.issue LNLM - CI & Electrical Systems ,1,2017
First-passage-time problems in time-aware networks.,IJASA ,4,2020
Redes neurais em processos siderurgicos: analisador virtual de propriedades metalurgicas do sinter e modelo de predição de qualidade do aço.,IJSCAI ,13,2017
A supervisão pela internet para o tratamento comportamental da enurese com aparelho nacional de alarme.,"IEEE--ICVR--Ei Compendex, Scopus ",9,2020
Simulation of viscous membranes (Simulação de membranas viscosas).,EAMM ,5,2018
Aprendizagem mediada por computador: uma proposta para desenho técnico mecânico.,EI/Scopus--DMBDA ,1,2019
The theory and development of a noninvasive retinal fluorescence scanner with application to early diagnosis of diabetic retinopathy.,MIET ,4,2022
Topsim: um sistema Baseado em Plugin para análise Numérica em Larga escala.,IJMECH ,9,2021
Photoinduced dynamics studied by ultrafast single-shot pump-probe spectroscopy.,Comunica2,5,2020
Alterações transcriptômicas no hipocampo de ratos submetidos a um modelo experimental de epilepsia com insulto precipitante febril.,WiMoA ,17,2022
I'M NOT ALONE: the use of mobile phones and consumer culture in the casual relationships of young of Rio de Janeiro.,Geohorizon,4,2019
"Computacional module, based on neural networks for cutting force and roughness in turning.",IJCIS ,4,2020
Criticality and parallelism in combinatorial optimization.,ARIN ,20,2018
"Mensuração do volume de perfusão pulmonar obtido por SPECT em uma amostra de pacientes com DPOC, pacientes com distúrbio ventilatório restritivo e voluntários saudáveis.",IJIST ,17,2018
A membrana e seus canais: um modelo computacional de neurônio.,SEAS,14,2019
Circuit design and technological limitations of silicon RFICs for wireless applications.,ICT ,2,2021
"Comparação entre algoritmo genético, rede neural artificial e análise de componentes principais no reconhecimento de faces.",BigDaCI ,7,2022
Graphical model driven methods in adaptive system identification.,Aarhus Symposium,11,2018
Performance assertion checking.,International Conference on Parallel and Distributed Systems,1,2022
"Identification, robust adaptation and iterative schemes.",IJFCST ,4,2023
Proposta de uma metodologia para construção de um modulo especialista dirigido a escolha das condições de corte.,International Conference on Sociolinguistics,16,2018
Proposições e aplicações computacionais em polímeros.,dsaa ,17,2017
Uncertainty propagation in protein structure determination.,IJMIT ,4,2019
A few days of a robot's life in the human's world: toward incremental individual recognition.,IJCSEIT ,8,2020
"Metodologia de inspeção visual utilizando limiar(""Threshold"") entrópico com aplicações na classificação de placas de madeira.",EasyChair,9,2020
Pollutant dispersal in an air-water system mathematical modeling numerical aproximation and computational simulations.,IJGTT ,4,2023
"Dealers, insiders and bandits: learning and its effects on market outcomes.",CSEIT ,2,2023
Verification of d-wave pairing symmetry by microwave intermodulation distortion measurements in yttrium barium copper oxide.,"ACM--ICBDC--EI Compendex, Scopus ",12,2023
Mining value chain and information technology: strategic alignment as effectiveness generator in mining companies (Cadeia de valor mineral e tecnologia da informação: alinhamento estratégico como gerador de eficácia em empresas de mineração).,TSP ,11,2020
Algebraic laws for object oriented programming with references.,Association for Logic Language and Information,4,2017
"Proposta, modelagem e validação de uma nova concepção de regulador eletromagnético através do reforço série de tensão.",International Congress of Quantum Chemistry,1,2023
Exploring concepts of metric space theory in similarity queries over complex data.,IJIST ,6,2019
The epidemics of programming language adoption.,DMA ,15,2021
Design of a low power very large scale integration systems powered by ambient mechanical vibration.,CCSIT ,3,2019
Methodological guidelines and statistical data validation for the construction of data warehouses.,ACM--AITC--Ei and Scopus ,6,2017
Radiance interpolants for interactive scene editing and ray tracing.,SIGL ,13,2020
Geographical information system for family health program (Sistemas de informações geográficas para o programa de saúde da família).,ICDT ,13,2022
Autonomous underwater data muling using wireless optical communication and agile autonomous underwater vehicle control.,ACIJ,14,2022
Tu jie gou shu ju de cha xun chu li.,Demos@AIME ,4,2018
GroupPlaces: uma arquitetura de Groupware para a WWW.,IJPLA ,2,2023
Context-aware hybrid data dissemination in vehicular networks.,IJSCMC ,4,2020
On the regulation of cloud computing contracts.,IJP2P ,16,2023
Avaliação de projetos estratégicos de tecnologia da informação.,MLNLP ,15,2018
Magnetic resonance imaging of diffusion in the presence of physiological motion.,IJIST ,13,2023
Informação em saúde para o público leigo: os âmbitos da produção e transferência de informação nas entidades de apoio a pacientes.,"ACM--VRIP--EI, Scopus ",20,2017
Integração mente e ambiente para a geração de comportamentos emergentes em personagens virtuais autônomos através da evolução de redes neurais artificiais.,RuhrSec ,5,2020
Medida de habilidade em programação funcional via modelagem de Rasch com validação dicotômica.,SE ,4,2020
Investigação do uso integrado de propriedades self-* e peer-to-peer para o gerenciamento de redes.,IJMSA ,2,2017
Visual vibration analysis.,"IEEE--ICVR--Ei Compendex, Scopus ",11,2017
Efficient information aggregation strategies for distributed control and signal processing.,ICCS ,17,2023
Arquivologia e Ciência da Informação: (RE)definição de marcos interdisciplinares.,AIS ,19,2022
Supporting Computer-Aided Diagnosis and Content-Based Image Retrieval Systems through Association Rule Mining (Suporte a sistemas de auxílio ao diagnóstico e de recuperação de imagens por conteúdo usando mineração de regras de associação).,ArIT ,8,2022
Efficient rendering of synthetic images.,Sp.issue LNLM - CI & Electrical Systems ,17,2021
Informação e comunicação em saúde: análise das redes sociais e dos fluxos sobre cuidado entre profissionais na atenção básica de saúde.,IEEE-Ei/Scopus-CNIOT ,20,2017
A fault-tolerant multiprocessor architecture for digital signal processing applications.,FCST ,8,2020
The informational complexity of learning from examples.,IPPR ,13,2018
Gradient-Based Steering for Vision-Based Crowd Simulation Algorithms.,AIMS Meeting,20,2017
A ressignificação da pesquisa-ação do NACE Escola do Futuro - USP: análise dos principais projetos sob a ótica das literacias de mídia e informação.,IHCI ,6,2021
Free tree-featured graph indexing and query processing.,ACIJ,16,2023
A methodology based on statistics models and neural networks to the software project devolopment effort estimation.,EL ,3,2023
On Robust control designs for infinite dimensional systems.,CMIT ,11,2018
Interatividade e mediação pedagógica na educação a distância.,SERA ,9,2017
Indicadores de inovação: uma proposta a partir da perspectiva da informação e do conhecimento.,IJMIT ,8,2021
Redefining how pharmaceutical innovation gets done.,IJICS ,13,2020
Motion estimation and segmentation.,IJASA ,3,2020
Proposta para computação assíncrona paralela e distribuida de estruturas especiais de jogos dinâmicoss.,International Conference on Parallel and Distributed Systems,19,2020
[Episilon]-relaxation and auction algorithms for the convex cost network flow problem.,IJFCSTIA ,16,2020
Suspended microchannel resonators for biomolecular detection.,ICCS ,4,2020
Providing QoS to cloud computing by means metascheduling (Oferecimento de QoS para computação em nuvens por meio de metaescalonamento).,EI/Scopus--AEEGE ,1,2017
Um Modelo baseado em contexto para expansão de consultas semânticas em redes colaborativas de organizações.,IPPR ,14,2017
How a statistical encoding in the periphery affects perception.,International Conference on Sociolinguistics,18,2017
Learning from data locally and globally.,ITCON ,20,2021
Utilização de técnicas de análise estática e dinâmica para otimização de aplicações de propósito geral em GPUs.,DMDBS ,10,2021
Reciprocidade periférica como estratégia para aumento de centralidade: estudo de rede de citações acadêmicas.,"ICCSM--Scopus, EI ",7,2022
An integrated trading environment to improve transparency and efficiency of financial information transmission.,IJNSA ,15,2019
Planning the evolution of information technology systems: multiple-case study in manufacturing companies (Planejamento da evolução de sistemas de tecnologia da informação: estudo de casos múltiplos em empresas de manufatura).,CSEIJ ,2,2023
Modelagem MatemáTICA E SIMULAçãO GRáFICA do Envelhecimento Facial.,DMDBS ,15,2019
"Topics in distributed computing: the impact of partial synchrony, and modular decomposition of algorithms.",TPMC ,20,2021
Dynamic positioning system based on computer vision and laser (Sistema de posicionamento dinâmico baseado em visão computacional e laser).,SP ,12,2022
Parallel methods for synthesizing whole-hand grasps from generalized prototypes.,NEATCLasS ,4,2017
Redes Neurais Artificiais na PrevisãO de SéRIES Temporais.,CCSIT ,8,2017
Graph-based representations and coupled verification of VLSI schematics and layouts.,DTMN ,12,2023
A superconducting bandpass delta-sigma modulator for direct analog-to-digital conversion of microwave radio.,MIET ,10,2021
Biodiversity information systems and publica policies in the digital age.,Conference on Information Technology,12,2022
Analise por visões: uma tecnica para analise de requisitos.,EH ,2,2018
Finite-rate control: stability and performance.,"ACCC--Ei Compendex, Scopus ",5,2023
Theory and design of HIC microphotonic circuits.,DMML ,14,2017
Dynamic aspects specification ofthe systems.,ICAIT ,20,2018
Cryptography in the presence of key-dependent messages.,ITCA ,4,2023
High efficiency thermophotovoltaic microgenerators.,ICAIT ,7,2020
"3D visibility analysis for visual quality assessment: approaches based on modelling tools, VGE and WebGIS.","ACM--ICCMS--EI Compendex, Scopus ",11,2017
"Metodologia para modelagem do padrão da paisagem integrando sistema de informações geográficas, sensoriamento remoto e rede neural.","ACM--ICHMI--Ei Compendex, Scopus ",2,2022
Multiscale methods for the analysis and application of fractal point processes and queues.,SP ,19,2017
A interação entre gerenciamento de projetos e gestão do conhecimento: estudos de casos múltiplos de tecnologia de informação em um banco brasileiro.,Fuzzy ,15,2022
The minimization of tool switches problem.,ICT ,17,2018
Rede colaborativa de serviços e produtos de informação no contexto das bibliotecas universitárias brasileiras.,"IEEE--CompAuto--EI, Scopus ",1,2021
The excitation andn dynamics of coherent lattice vibrations in semimetals and narrow-gap semiconductors.,IEEE-Ei/Scopus-CNIOT ,2,2021
Generalização cartográfica automatizada para um banco de dados cadastral.,CSC ,19,2020
Modelo de SéRIES Temporais com Coeficientes Neurais para Processos nãO lineares na MéDIA E VARIâNcia.,NLAI ,6,2022
Análise da complexidade computacional de problemas de estatística descritiva com entradas intervalares.,International Congress of Actuaries,6,2022
Learning to transform time series with a few examples.,NEATCLasS ,4,2020
"Um sistema computacional inteligente de suporte ao projeto, manufatura e montagem de peças baseado em features :: uma abordagem com sistemas especialistas.",IEIJ ,20,2021
Design and implementation of efficient routing protocols in delay tolerant networks.,EI/Scopus--DMBDA ,17,2020
Applied optimal control for dynamically stable legged locomotion.,IJPS ,20,2022
The evolution of biodiversity: a simulation approach.,CCSIT ,9,2020
"InGaAs MOSFETs for logic and RF applications: reliability, scalability and transport studies.",International Congress of Orientalists,10,2020
An integrated associative processing system.,AMS ,5,2020
Relações EM Linguagens de Autoria HipermíDIA: Aumentando Reuso E Expressividade.,"IEEE--ICVR--Ei Compendex, Scopus ",17,2019
Addressing by title: enabling multicast to the next generation of computers networks (Endereçamento por título: uma forma de encaminhamento multicast para a próxima geração de redes de computadores).,IJFCSTIA ,18,2023
O tratamento temático da informação em abordagem sociocultural: diretrizes para definição de política de indexação em bibliotecas universitárias.,AITIJ ,18,2022
Numerical solution of the KBKZ-PSM constitutive model for flows with free surfaces.,IJEL ,7,2018
Relatively robust grasping.,FCST ,10,2022
Learning motion patterns using hierarchical Bayesian models.,MEAP ,5,2022
Adaptação dinâmica do timeout de detectores de defeitos através do uso de séries temporais.,"ICCEE--Ei Compendex, Scopus ",6,2021
Sistema de opoio à decisão espacial aplicado ao serviço de atendimento móvel de urgência em vias de trânsito.,Geohorizon,11,2022
Simulação por elementos finitos da propagação escalar de feixes opticos.,ICDT ,12,2021
Técnica 3D de visualização da informação: design e avaliação da usabilidade.,"IEEE--CCAI--EI Compendex, Scopus ",19,2021
Um MéToDo Baseado EM MineraçãO de Grafos para SegmentaçãO E Contagem de Clusters de MáXimos Locais EM Imagens Digitais.,IADSDTP ,14,2022
Creative agency.,"ICCCS--IEEE, Ei Compendex, Scopus ",18,2019
Planning and control in stochastic domains with imperfect information.,Conference on Information Technology,1,2021
The event based language and its multiple processor implementations.,The Aging Symposium,1,2020
"Computational evolutionary genomics: phylogenomic models spanning domains, genes, individuals, and species.",European Conference on Information Systems,2,2022
Ambiente educacional via WEB para odontologia.,"WSEA--Ei Compendex, Scopus ",7,2019
Knowledge built and pedagogical mediation inside learning environments.,IEEE-Ei/Scopus-CTISC ,6,2019
Generation of algebraic expressions for business processes using reductions on series-parallel digraphs.,National Service Learning Conference,9,2018
Integração semântica de publicações científicas e dados de pesquisa: proposta de modelo de publicação ampliada para a área de ciências nucleares.,"WSEA--Ei Compendex, Scopus ",10,2018
Técnicas de escalonamento e serialização para memórias transacionais.,IJIST ,18,2017
Investigation of instructional strategies designed to promote achievement and retention in online mathematics classes.,CSEA ,15,2017
Projeto de um circuito integrado dedicado a simulação de circuitos ULSI.,CSEIJ ,18,2023
Uma Abordagem Geral para Quantificadores EM DeduçãO Natural.,IJICS ,18,2020
Ambiente para Minimização do Impacto de Falhas para Aplicações Paralelas.,Demos@AIME ,17,2023
Methodology proposal for evaluating the extended enterprise integration associated with automation indexes.,"IEEE--CCAI--EI Compendex, Scopus ",10,2022
Novel optical techniques to enable network management in all-optical networks.,IJANS ,2,2020
Uma abordagem sobre o uso da hipermídia adaptativa em ambientes virtuais de aprendizagem.,"ACM--VRIP--EI, Scopus ",14,2023
The establishment of a library networking model for the Caribbean region: A Delphi study.,European Conference on Digital Libraries,11,2021
Um método para determinação de pontos de operação com diversidade em linha digital de assinante usando balanceamento de espectro e algoritmo evolucionário.,IJDMS ,1,2022
A unified theory of flow control and routing in data communication networks.,IJASA ,7,2021
Generation and improvement of adaptive meshes.,"IEEE--ICVR--Ei Compendex, Scopus ",8,2022
An inference model with probabilistic ontologies to support automation in effects-based operations planning.,Fuzzy ,12,2023
"Imagens de arquivo, cenas desconhecidas: um estudo sobre Bibliotecários, Jornalistas, rede de relações e práticas informacionais em arquivos de Telejornalismo.",AMS ,18,2022
Representing in order to interact: an interactionist approach to ontology.,dsaa ,7,2023
Teaching and learning in Endodontics: application of hypermedia and use of internet as facilitators of the process (Ensino-aprendizagem em endodontia: aplicação da hipermídia e o uso da internet como facilitadores do processo).,ADCO ,7,2019
"Sistemas de informação cientes de processos, robustos e confiáveis.",International Conference on Information Systems,6,2022
Propagation in bipartite graphs for topic extraction in stream of textual data.,"IEEE--CompAuto--EI, Scopus ",6,2018
Throughput and delay analysis of frequency hopped multiple access networks.,I4CS ,17,2017
Design methodology and stability analysis of recurrent neural networks for constrained optimization.,CSITEC ,2,2020
Synopsis of video streams and its application to computer aided diagnosis for GI tract abnormalities based on wireless capsule endoscopy (CE) video.,International Congress of Americanists,18,2019
"A influência da Ciência da Informação nos cursos de graduação em Biblioteconomia no Brasil: formação docente, aspectos teóricos e manifestações temáticas.",DMML ,6,2021
Intelecto geral e polarização do conhecimento na era da informação: o Vale do Silício como exemplo.,GET ,1,2019
Predição do desempenho de programas paralelos por simulação do grafo de execução.,MECHATROJ ,5,2017
Modelos e algoritmos para planejamento integrado na indústria da mineração.,European Conference on Digital Libraries,11,2021
The discrete representation of spatially continuous images.,"CCAT--Ei, Scopus ",20,2023
Influences of climate variability and change on precipitation characteristics and extremes.,IJFCST ,10,2020
Control under communication constraints.,Nobel Conference,18,2019
Terahertz QCLs.,IJITCA ,11,2021
"A framework for availability, performance and survivability evaluation of disaster tolerant cloud computing systems.",New Ways of Analyzing Variation,6,2021
Reconfigurability in a mobile system based on the software defined radio architecture.,"ACM--ICCMS--EI Compendex, Scopus ",17,2018
Recovered energy logic-a logic family and power supply featuring very high efficiency.,EI/Scopus--AEEGE ,18,2021
The physics and technology of the InAlAs/n⁺-InP heterostructure field-effect transistor.,IJITCA ,3,2019
"The BGN public-key cryptosystem and its application to authentication, oblivious transfers, and proof-of-visit.",CMIT ,7,2022
The use of the computer as a means for representing space: a case study in the field of teaching digital & virtual design (O uso do computador como meio para a representação do espaço: estudo de caso na área de ensino do digital & virtual design).,IJCSEIT ,11,2019
Restauração de imagens subaquáticas usando algoritmos de enxames e métricas específicas.,WiMoA ,7,2023
Feature selection and intrinsically multivariate prediction in gene regulatory networks identification.,DMDBS ,17,2020
Algoritmos evolutivos para alguns problemas em telecomunicações.,"ICCSM--Scopus, EI ",1,2017
Routing optimization strategy based on Bayesian game for delay and disruption tolerant networks with energy constraint.,SEC ,12,2020
Piraí digital e a teoria ator-rede: a trajetória de inclusão e desenvolvimento de Piraí.,NLPD ,20,2021
Avaliação da utilização de redes neuronais aplicadas a processos quimicos.,IEIJ ,2,2022
Segmentation of medical images under topological constraints.,Geohorizon,13,2023
"On fault tolerance, performance, and reliability for wireless and sensor networks.","ICCEE--Ei Compendex, Scopus ",13,2019
User interface handles for web objects.,SAM,10,2017
Energy-efficient circuits and systems for computational imaging and vision on mobile devices.,CSC ,12,2021
Estudo de governo eletrônico de Moçambique e do Estado de São Paulo- Brasil: uma discussão sobre as políticas.,Association for Logic Language and Information,15,2020
A Cartographic Visualization System for Urban Planning.,NLPI ,10,2022
Ultra-low-power SRAM design in high variability advanced CMOS.,International Conference on Mechanical Industrial & Energy Engineering,11,2021
Cloud computing e direito das sucessões: direito de privacidade como critério de acesso aos dados pelos herdeiros.,"NLPAI--Ei Compendex, Scopus ",4,2018
EPMOSt: an energy-efficient passive monitoring system for Wireless Sensor Networks (EPMOSt: um sistema de monitoramento passivo energeticamente eficiente para redes de sensores sem fio).,EDU ,18,2017
Factor graphs and iterative decoding: new developments.,"ICCSM--Scopus, EI ",3,2018
Pre-computation for controlling character behavior in interactive physical simulations.,"ACM--VRIP--EI, Scopus ",7,2023
Framework para engenharia e processamento de ontologias utilizando computação quântica.,Comunica2,14,2023
MSL: a synthesis enabled language for distributed high performance computing implementations.,"IEEE--ICVR--Ei Compendex, Scopus ",7,2021
"Stochastic methods for large-scale linear problems, variational inequalities, and convex optimization.",Nobel Conference,14,2022
FormataçãO E Controle de Apresentações HipermíDIA com mecanismos de AdaptaçãO Temporal.,IJMNCT ,5,2017
Mecanismo de adaptação baseado em redes neurais artificiais para sistemas hipermídia adaptativos.,International Conference on Parallel and Distributed Systems,11,2017
Implementação de conversor de polarização linear-circular para antenas de microfita usando metasuperfícies.,PBIJ ,3,2017
As tecnologias de informação e de comunicação no espaço escolar.,Nobel Conference,9,2021
Hardware and software co-design of a process scheduler for heterogeneous multicore architectures based on reconfigurable computing (Co-projeto de hardware e software de um escalonador de processos para arquiteturas multicore heterogêneas baseadas em computação reconfigurável).,AVC ,19,2023
Metodos interativos de decomposição sequencial com mudança de escala em tomografia.,IJANS ,9,2020
Análise dinâmica não linear de sinais de voz para detecção de patologias laríngeas.,EI/Scopus--AEEGE ,15,2022
Interpreting the role of non-coding genetic variation in human disease.,Association for Machines and Mechanisms,14,2019
Detecção de ruídos em repositórios de máquina de busca.,Georgetown Leadership Seminar,13,2022
"Sistemas multiagentes cognitivos para recuperação, classificação e extração integradas de informação da web.",IJMIT ,18,2017
Motion transformation by example.,ICCS ,20,2017
Predição do sequestro do carbono em área reflorestada utilizando redes neurais artificiais.,"IEEE--ICVR--Ei Compendex, Scopus ",19,2017
Hardware evolutivo aplicado a geração automatica de controladores para servo-mecanismos.,WBC ,3,2019
Binocular geometry and camera motion directly from normal flows.,"ACM--VRIP--EI, Scopus ",4,2019
Modelo de sistema de comunicações digital para o mecanismo de importação de proteinas mitocondriais atraves de codigos corretores de erros.,International Conference on Parallel and Distributed Systems,10,2021
Desenvolvimento e gestão de programas de capacitação mediados por tecnologia.,SE ,10,2023
Support mechanisms for usability and accessibility in the interaction of older adults on the web (Mecanismos de apoio para usabilidade e acessibilidade na interação de adultos mais velhos na Web).,"CCAT--Ei, Scopus ",13,2020
An intelligent control architecture for multi-robots.,IJPLA ,1,2020
Building generative models over discrete structures: from graphical models to deep learning.,International Congress of Orientalists,18,2018
A prática da pesquisa e mapeamento informacional bibliográfico apoiados por recursos tecnológicos: impactos na formação de professores.,"IEEE--PRML--Ei, Scopus ",13,2023
Self-similar LAN/WAN traffic issues on high-speed QoS networks.,Text Speech and Dialogue,10,2022
Quality evaluatin of higher distance courses.,dsaai ,10,2022
