paper,author
Didaktische Strategien in generierten Trainingssystemen zum diagnostischen Problemlösen.,James P. M. Ntozi
Didaktische Strategien in generierten Trainingssystemen zum diagnostischen Problemlösen.,André Frank Krause
Die Bildanalysesprache TRIAS.,Amritpal Singh Bhachu
Die Bildanalysesprache TRIAS.,Mohamed Medhat Gaber
Die Bildanalysesprache TRIAS.,Pietro Coli
Die Bildanalysesprache TRIAS.,James P. M. Ntozi
Die Bildanalysesprache TRIAS.,André Frank Krause
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,Amritpal Singh Bhachu
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,Mohamed Medhat Gaber
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,Pietro Coli
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,James P. M. Ntozi
Die Erkennungsphase in einem Dialogsystem.,Amritpal Singh Bhachu
Die Erkennungsphase in einem Dialogsystem.,Mohamed Medhat Gaber
Die Erkennungsphase in einem Dialogsystem.,Pietro Coli
Die Erkennungsphase in einem Dialogsystem.,James P. M. Ntozi
Die Erkennungsphase in einem Dialogsystem.,André Frank Krause
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,Amritpal Singh Bhachu
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,Mohamed Medhat Gaber
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,Pietro Coli
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,James P. M. Ntozi
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,André Frank Krause
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,Amritpal Singh Bhachu
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,Mohamed Medhat Gaber
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,Pietro Coli
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,James P. M. Ntozi
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,André Frank Krause
Die schemabasierte Modellierung und Steuerung von Projektvorgängen.,Amritpal Singh Bhachu
Die schemabasierte Modellierung und Steuerung von Projektvorgängen.,Mohamed Medhat Gaber
Die schemabasierte Modellierung und Steuerung von Projektvorgängen.,Pietro Coli
Die schemabasierte Modellierung und Steuerung von Projektvorgängen.,James P. M. Ntozi
Die virtuelle Gemeinschaft als Informationssystem: Informationsqualität nutzergenerierter Inhalte in der Domäne Tourismus.,Amritpal Singh Bhachu
Die virtuelle Gemeinschaft als Informationssystem: Informationsqualität nutzergenerierter Inhalte in der Domäne Tourismus.,Mohamed Medhat Gaber
Die virtuelle Gemeinschaft als Informationssystem: Informationsqualität nutzergenerierter Inhalte in der Domäne Tourismus.,Pietro Coli
Dienstgüteunterstützung in Weitverkehrsnetzen.,Amritpal Singh Bhachu
Dienstgüteunterstützung in Weitverkehrsnetzen.,Mohamed Medhat Gaber
Dienstgüteunterstützung in Weitverkehrsnetzen.,Pietro Coli
Dienstgüteunterstützung in Weitverkehrsnetzen.,James P. M. Ntozi
Dienstgüteunterstützung in Weitverkehrsnetzen.,André Frank Krause
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,Amritpal Singh Bhachu
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,Mohamed Medhat Gaber
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,Pietro Coli
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,James P. M. Ntozi
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,André Frank Krause
Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,Amritpal Singh Bhachu
Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,Mohamed Medhat Gaber
Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,Pietro Coli
Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,James P. M. Ntozi
Digitale und Allgemeine Topologie in der bildhaften Wissensrepräsentation.,André Frank Krause
Discrete scale-space formulation and multiscale edge extraction toward higher dimensions.,Amritpal Singh Bhachu
Discrete scale-space formulation and multiscale edge extraction toward higher dimensions.,Mohamed Medhat Gaber
Discrete scale-space formulation and multiscale edge extraction toward higher dimensions.,Pietro Coli
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,Amritpal Singh Bhachu
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,Mohamed Medhat Gaber
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,Pietro Coli
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,James P. M. Ntozi
Diskretisierung reellwertiger Attribute mit gemischten kontinuierlichen Gleichverteilungen und ihre Anwendung bei der zeitreihenbasierten Entscheidungsbauminduktion.,André Frank Krause
Dispersionsmessungen zur Charakterisierung von Quarzglasfasern der optischen Nachrichtentechnik.,Amritpal Singh Bhachu
Dispersionsmessungen zur Charakterisierung von Quarzglasfasern der optischen Nachrichtentechnik.,Mohamed Medhat Gaber
Dispersionsmessungen zur Charakterisierung von Quarzglasfasern der optischen Nachrichtentechnik.,Pietro Coli
Distributed Machine Learning.,Amritpal Singh Bhachu
Distributed Machine Learning.,Mohamed Medhat Gaber
Distributed Machine Learning.,Pietro Coli
Distributed Machine Learning.,James P. M. Ntozi
Distributed Machine Learning.,André Frank Krause
Distributed execution environments for the CODE 2.0 parallel programming system.,Amritpal Singh Bhachu
Distributed execution environments for the CODE 2.0 parallel programming system.,Mohamed Medhat Gaber
Distributed execution environments for the CODE 2.0 parallel programming system.,Pietro Coli
Distributed simulation using relaxed timing.,Amritpal Singh Bhachu
Distributed simulation using relaxed timing.,Mohamed Medhat Gaber
Distributed simulation using relaxed timing.,Pietro Coli
Distributed simulation using relaxed timing.,James P. M. Ntozi
Dynamic time windows - congestion control and avoidance in high speed networks.,Amritpal Singh Bhachu
Dynamic time windows - congestion control and avoidance in high speed networks.,Mohamed Medhat Gaber
Dynamic time windows - congestion control and avoidance in high speed networks.,Pietro Coli
Dynamische semantische Netze - Zur Kontextabhängigkeit von Wortbedeutungen.,Amritpal Singh Bhachu
Dynamische semantische Netze - Zur Kontextabhängigkeit von Wortbedeutungen.,Mohamed Medhat Gaber
Dynamische semantische Netze - Zur Kontextabhängigkeit von Wortbedeutungen.,Pietro Coli
Dynamische semantische Netze - Zur Kontextabhängigkeit von Wortbedeutungen.,James P. M. Ntozi
Dynamische semantische Netze - Zur Kontextabhängigkeit von Wortbedeutungen.,André Frank Krause
"Dynamische, situationsbezogene Hypertext-Handbücher für komplexe Tätigkeiten.",Amritpal Singh Bhachu
"Dynamische, situationsbezogene Hypertext-Handbücher für komplexe Tätigkeiten.",Mohamed Medhat Gaber
"Dynamische, situationsbezogene Hypertext-Handbücher für komplexe Tätigkeiten.",Pietro Coli
"Dynamische, situationsbezogene Hypertext-Handbücher für komplexe Tätigkeiten.",James P. M. Ntozi
"Dynamische, situationsbezogene Hypertext-Handbücher für komplexe Tätigkeiten.",André Frank Krause
EMSY - Ein Modellierungskonzept für ökologische und biologische Systeme unter besonderer Berücksichtigung ihrer dynamischen Veränderung.,Amritpal Singh Bhachu
EMSY - Ein Modellierungskonzept für ökologische und biologische Systeme unter besonderer Berücksichtigung ihrer dynamischen Veränderung.,Mohamed Medhat Gaber
EMSY - Ein Modellierungskonzept für ökologische und biologische Systeme unter besonderer Berücksichtigung ihrer dynamischen Veränderung.,Pietro Coli
Efficient program monitoring techniques.,Amritpal Singh Bhachu
Efficient program monitoring techniques.,Mohamed Medhat Gaber
Efficient program monitoring techniques.,Pietro Coli
Efficient program monitoring techniques.,James P. M. Ntozi
Efficient program monitoring techniques.,André Frank Krause
Effizientes Problemlösen durch flexible Wiederverwendung von Fällen auf verschiedenen Abstraktionsebenen.,Amritpal Singh Bhachu
Effizientes Problemlösen durch flexible Wiederverwendung von Fällen auf verschiedenen Abstraktionsebenen.,Mohamed Medhat Gaber
Effizientes Problemlösen durch flexible Wiederverwendung von Fällen auf verschiedenen Abstraktionsebenen.,Pietro Coli
Ein Ansatz zur Formalisierung der Echtzeit-Bildauswertung und seine Nutzung zur automatischen Erzeugung lauffähiger Maschinenprogramme.,Amritpal Singh Bhachu
Ein Ansatz zur Formalisierung der Echtzeit-Bildauswertung und seine Nutzung zur automatischen Erzeugung lauffähiger Maschinenprogramme.,Mohamed Medhat Gaber
Ein Ansatz zur Formalisierung der Echtzeit-Bildauswertung und seine Nutzung zur automatischen Erzeugung lauffähiger Maschinenprogramme.,Pietro Coli
Ein Ansatz zur Formalisierung der Echtzeit-Bildauswertung und seine Nutzung zur automatischen Erzeugung lauffähiger Maschinenprogramme.,James P. M. Ntozi
Ein Code erzeugender Formalisierungsoperator und seine Anwendung auf LISP-Interpretierer.,Amritpal Singh Bhachu
Ein Code erzeugender Formalisierungsoperator und seine Anwendung auf LISP-Interpretierer.,Mohamed Medhat Gaber
Ein Code erzeugender Formalisierungsoperator und seine Anwendung auf LISP-Interpretierer.,Pietro Coli
Ein Code erzeugender Formalisierungsoperator und seine Anwendung auf LISP-Interpretierer.,James P. M. Ntozi
Ein Datenbankkern zur Speicherung variabel strukturierter Feature-Terme. Implementierungstechniken.,Amritpal Singh Bhachu
Ein Datenbankkern zur Speicherung variabel strukturierter Feature-Terme. Implementierungstechniken.,Mohamed Medhat Gaber
Ein Datenbankkern zur Speicherung variabel strukturierter Feature-Terme. Implementierungstechniken.,Pietro Coli
Ein Datenbankkern zur Speicherung variabel strukturierter Feature-Terme. Implementierungstechniken.,James P. M. Ntozi
Ein Dialogmodul für ein Spracherkennungs- und Dialogsystem.,Amritpal Singh Bhachu
Ein Dialogmodul für ein Spracherkennungs- und Dialogsystem.,Mohamed Medhat Gaber
Ein Dialogmodul für ein Spracherkennungs- und Dialogsystem.,Pietro Coli
Ein Dialogmodul für ein Spracherkennungs- und Dialogsystem.,James P. M. Ntozi
"Ein Molekül-Atom-Datenmodell für Non-Standard-Anwendungen: Anwendungsanalyse, Datenmodellentwurf und Implementierungskonzepte",Amritpal Singh Bhachu
"Ein Molekül-Atom-Datenmodell für Non-Standard-Anwendungen: Anwendungsanalyse, Datenmodellentwurf und Implementierungskonzepte",Mohamed Medhat Gaber
"Ein Molekül-Atom-Datenmodell für Non-Standard-Anwendungen: Anwendungsanalyse, Datenmodellentwurf und Implementierungskonzepte",Pietro Coli
"Ein Molekül-Atom-Datenmodell für Non-Standard-Anwendungen: Anwendungsanalyse, Datenmodellentwurf und Implementierungskonzepte",James P. M. Ntozi
"Ein Molekül-Atom-Datenmodell für Non-Standard-Anwendungen: Anwendungsanalyse, Datenmodellentwurf und Implementierungskonzepte",André Frank Krause
Ein Multi-Agentensystem zur Transportplanung und -steuerung bei Speditionen mit Trampverkehr - Entwicklung und Vergleich mit zentralisierten Methoden und menschlichen Disponenten.,Amritpal Singh Bhachu
Ein Multi-Agentensystem zur Transportplanung und -steuerung bei Speditionen mit Trampverkehr - Entwicklung und Vergleich mit zentralisierten Methoden und menschlichen Disponenten.,Mohamed Medhat Gaber
Ein Multi-Agentensystem zur Transportplanung und -steuerung bei Speditionen mit Trampverkehr - Entwicklung und Vergleich mit zentralisierten Methoden und menschlichen Disponenten.,Pietro Coli
Ein Multi-Agentensystem zur Transportplanung und -steuerung bei Speditionen mit Trampverkehr - Entwicklung und Vergleich mit zentralisierten Methoden und menschlichen Disponenten.,James P. M. Ntozi
Ein Multi-Agentensystem zur Transportplanung und -steuerung bei Speditionen mit Trampverkehr - Entwicklung und Vergleich mit zentralisierten Methoden und menschlichen Disponenten.,André Frank Krause
Ein Randverteilungsproblem und seine Anwendung auf das asymptotische Spektrum bilinearer Abbildungen.,Amritpal Singh Bhachu
Ein Randverteilungsproblem und seine Anwendung auf das asymptotische Spektrum bilinearer Abbildungen.,Mohamed Medhat Gaber
Ein Randverteilungsproblem und seine Anwendung auf das asymptotische Spektrum bilinearer Abbildungen.,Pietro Coli
Ein Software-System zur Synthese von Rechnerstrukturen und zur Erzeugung von Mikrocode.,Amritpal Singh Bhachu
Ein Software-System zur Synthese von Rechnerstrukturen und zur Erzeugung von Mikrocode.,Mohamed Medhat Gaber
Ein Software-System zur Synthese von Rechnerstrukturen und zur Erzeugung von Mikrocode.,Pietro Coli
Ein Software-System zur Synthese von Rechnerstrukturen und zur Erzeugung von Mikrocode.,James P. M. Ntozi
Ein Software-System zur Synthese von Rechnerstrukturen und zur Erzeugung von Mikrocode.,André Frank Krause
Ein Tutoring Prozess Modell für fallbasierte intelligente Tutoring Systeme.,Amritpal Singh Bhachu
Ein Tutoring Prozess Modell für fallbasierte intelligente Tutoring Systeme.,Mohamed Medhat Gaber
Ein Tutoring Prozess Modell für fallbasierte intelligente Tutoring Systeme.,Pietro Coli
Ein flexibel einsetzbares Objekterkennungssystem auf der Basis neuronaler Netze.,Amritpal Singh Bhachu
Ein flexibel einsetzbares Objekterkennungssystem auf der Basis neuronaler Netze.,Mohamed Medhat Gaber
Ein flexibel einsetzbares Objekterkennungssystem auf der Basis neuronaler Netze.,Pietro Coli
Ein hybrider Ansatz zur Strukturanalyse gesprochener Spontansprache.,Amritpal Singh Bhachu
Ein hybrider Ansatz zur Strukturanalyse gesprochener Spontansprache.,Mohamed Medhat Gaber
Ein hybrider Ansatz zur Strukturanalyse gesprochener Spontansprache.,Pietro Coli
Ein hybrider Ansatz zur Strukturanalyse gesprochener Spontansprache.,James P. M. Ntozi
Ein integriertes Verfahren zur effizienten Planung und Ausführung von Roboterbewegungen in unscharfen Umgebungen.,Amritpal Singh Bhachu
Ein integriertes Verfahren zur effizienten Planung und Ausführung von Roboterbewegungen in unscharfen Umgebungen.,Mohamed Medhat Gaber
Ein integriertes Verfahren zur effizienten Planung und Ausführung von Roboterbewegungen in unscharfen Umgebungen.,Pietro Coli
"Ein mehrfach adaptierendes, stabiles Modell zur Analyse von Straßenszenen.",Amritpal Singh Bhachu
"Ein mehrfach adaptierendes, stabiles Modell zur Analyse von Straßenszenen.",Mohamed Medhat Gaber
"Ein mehrfach adaptierendes, stabiles Modell zur Analyse von Straßenszenen.",Pietro Coli
"Ein mehrfach adaptierendes, stabiles Modell zur Analyse von Straßenszenen.",James P. M. Ntozi
Ein modellgestütztes Analysesystem zum Bildverstehen strukturierter Dokumente.,Amritpal Singh Bhachu
Ein modellgestütztes Analysesystem zum Bildverstehen strukturierter Dokumente.,Mohamed Medhat Gaber
Ein modellgestütztes Analysesystem zum Bildverstehen strukturierter Dokumente.,Pietro Coli
Ein modellgestütztes Analysesystem zum Bildverstehen strukturierter Dokumente.,James P. M. Ntozi
Ein modellgestütztes Analysesystem zum Bildverstehen strukturierter Dokumente.,André Frank Krause
Ein objektorientiertes Wissensmodell zur Konfigurierung digitaler Systeme.,Amritpal Singh Bhachu
Ein objektorientiertes Wissensmodell zur Konfigurierung digitaler Systeme.,Mohamed Medhat Gaber
Ein objektorientiertes Wissensmodell zur Konfigurierung digitaler Systeme.,Pietro Coli
Ein planbasierter Ansatz zur Generierung multimedialer Präsentationen.,Amritpal Singh Bhachu
Ein planbasierter Ansatz zur Generierung multimedialer Präsentationen.,Mohamed Medhat Gaber
Ein planbasierter Ansatz zur Generierung multimedialer Präsentationen.,Pietro Coli
Ein planbasierter Ansatz zur Generierung multimedialer Präsentationen.,James P. M. Ntozi
Einbettung von Konzepthierarchien in ein Deduktives Datenbanksystem.,Amritpal Singh Bhachu
Einbettung von Konzepthierarchien in ein Deduktives Datenbanksystem.,Mohamed Medhat Gaber
Einbettung von Konzepthierarchien in ein Deduktives Datenbanksystem.,Pietro Coli
Einbettung von Konzepthierarchien in ein Deduktives Datenbanksystem.,James P. M. Ntozi
Einbettung von Konzepthierarchien in ein Deduktives Datenbanksystem.,André Frank Krause
Eine Architektur zur Anwendung symbolischer Lernverfahren in der Robotik.,Amritpal Singh Bhachu
Eine Architektur zur Anwendung symbolischer Lernverfahren in der Robotik.,Mohamed Medhat Gaber
Eine Architektur zur Anwendung symbolischer Lernverfahren in der Robotik.,Pietro Coli
Eine Architektur zur Anwendung symbolischer Lernverfahren in der Robotik.,James P. M. Ntozi
Eine Architektur zur Anwendung symbolischer Lernverfahren in der Robotik.,André Frank Krause
Eine Graphgrammatik zur Repräsentation und Erkennung von Features in CAD/CAM.,Amritpal Singh Bhachu
Eine Graphgrammatik zur Repräsentation und Erkennung von Features in CAD/CAM.,Mohamed Medhat Gaber
Eine Graphgrammatik zur Repräsentation und Erkennung von Features in CAD/CAM.,Pietro Coli
Eine abstrakte Maschine für das logisch-funktionale Programmieren.,Amritpal Singh Bhachu
Eine abstrakte Maschine für das logisch-funktionale Programmieren.,Mohamed Medhat Gaber
Eine abstrakte Maschine für das logisch-funktionale Programmieren.,Pietro Coli
Eine fallbasierte Lernkomponente als integraler Bestandteil der MOLTKE-Werkbank zur Diagnose technischer Systeme.,Amritpal Singh Bhachu
Eine fallbasierte Lernkomponente als integraler Bestandteil der MOLTKE-Werkbank zur Diagnose technischer Systeme.,Mohamed Medhat Gaber
Eine fallbasierte Lernkomponente als integraler Bestandteil der MOLTKE-Werkbank zur Diagnose technischer Systeme.,Pietro Coli
Eine fallbasierte Lernkomponente als integraler Bestandteil der MOLTKE-Werkbank zur Diagnose technischer Systeme.,James P. M. Ntozi
Eine mehrschichtige Architektur zur Fehlerdiagnose und Fehlerbehebung bei der Entwicklung logischer Programme.,Amritpal Singh Bhachu
Eine mehrschichtige Architektur zur Fehlerdiagnose und Fehlerbehebung bei der Entwicklung logischer Programme.,Mohamed Medhat Gaber
Eine mehrschichtige Architektur zur Fehlerdiagnose und Fehlerbehebung bei der Entwicklung logischer Programme.,Pietro Coli
Eine parallele Architektur zur inkrementellen Generierung multimodaler Dialogbeiträge.,Amritpal Singh Bhachu
Eine parallele Architektur zur inkrementellen Generierung multimodaler Dialogbeiträge.,Mohamed Medhat Gaber
Eine parallele Architektur zur inkrementellen Generierung multimodaler Dialogbeiträge.,Pietro Coli
Einsatz von Rückkopplungen in der Bildauswertung bei einem Hand-Auge-System zur automatischen Demontage.,Amritpal Singh Bhachu
Einsatz von Rückkopplungen in der Bildauswertung bei einem Hand-Auge-System zur automatischen Demontage.,Mohamed Medhat Gaber
Einsatz von Rückkopplungen in der Bildauswertung bei einem Hand-Auge-System zur automatischen Demontage.,Pietro Coli
Einsatz von Rückkopplungen in der Bildauswertung bei einem Hand-Auge-System zur automatischen Demontage.,James P. M. Ntozi
Elements of a theory of design artefacts - a contribution to critical systems development research.,Amritpal Singh Bhachu
Elements of a theory of design artefacts - a contribution to critical systems development research.,Mohamed Medhat Gaber
Elements of a theory of design artefacts - a contribution to critical systems development research.,Pietro Coli
Embedding hardware description languages in proof systems.,Amritpal Singh Bhachu
Embedding hardware description languages in proof systems.,Mohamed Medhat Gaber
Embedding hardware description languages in proof systems.,Pietro Coli
Embedding hardware description languages in proof systems.,James P. M. Ntozi
Embedding hardware description languages in proof systems.,André Frank Krause
Engineering Coordination - A Methodology for the Coordination of Planning Systems.,Amritpal Singh Bhachu
Engineering Coordination - A Methodology for the Coordination of Planning Systems.,Mohamed Medhat Gaber
Engineering Coordination - A Methodology for the Coordination of Planning Systems.,Pietro Coli
Engineering Coordination - A Methodology for the Coordination of Planning Systems.,James P. M. Ntozi
Entwurf und Analyse nichtlinearer Diffusionsverfahren für die Bildverarbeitung.,Amritpal Singh Bhachu
Entwurf und Analyse nichtlinearer Diffusionsverfahren für die Bildverarbeitung.,Mohamed Medhat Gaber
Entwurf und Analyse nichtlinearer Diffusionsverfahren für die Bildverarbeitung.,Pietro Coli
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,Amritpal Singh Bhachu
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,Mohamed Medhat Gaber
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,Pietro Coli
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,James P. M. Ntozi
Erklärungen für komplexe Wissensbasen.,Amritpal Singh Bhachu
Erklärungen für komplexe Wissensbasen.,Mohamed Medhat Gaber
Erklärungen für komplexe Wissensbasen.,Pietro Coli
Erklärungen für komplexe Wissensbasen.,James P. M. Ntozi
Erklärungen für komplexe Wissensbasen.,André Frank Krause
Erklärungsbasiertes Computer-Sehen von Bildfolgen.,Amritpal Singh Bhachu
Erklärungsbasiertes Computer-Sehen von Bildfolgen.,Mohamed Medhat Gaber
Erklärungsbasiertes Computer-Sehen von Bildfolgen.,Pietro Coli
Erklärungsbasiertes Computer-Sehen von Bildfolgen.,James P. M. Ntozi
Erklärungsbasiertes Computer-Sehen von Bildfolgen.,André Frank Krause
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,Amritpal Singh Bhachu
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,Mohamed Medhat Gaber
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,Pietro Coli
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,James P. M. Ntozi
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,André Frank Krause
Error estimation and model selection.,Amritpal Singh Bhachu
Error estimation and model selection.,Mohamed Medhat Gaber
Error estimation and model selection.,Pietro Coli
Erwartungsgestützte Analyse medizinischer Befundungstexte. Ein wissensbasiertes Modell zur Sprachverarbeitung.,Amritpal Singh Bhachu
Erwartungsgestützte Analyse medizinischer Befundungstexte. Ein wissensbasiertes Modell zur Sprachverarbeitung.,Mohamed Medhat Gaber
Erwartungsgestützte Analyse medizinischer Befundungstexte. Ein wissensbasiertes Modell zur Sprachverarbeitung.,Pietro Coli
Erweiterung der Wissensbasierten CAD-Konstruktion um Restriktionsnetztechniken.,Amritpal Singh Bhachu
Erweiterung der Wissensbasierten CAD-Konstruktion um Restriktionsnetztechniken.,Mohamed Medhat Gaber
Erweiterung der Wissensbasierten CAD-Konstruktion um Restriktionsnetztechniken.,Pietro Coli
Erwerb rekursiver Programmiertechniken als Induktion von Konzepten und Regeln - ein kognitionswissenschaftlicher Zugang zum Erwerb kognitiver Fertigkeiten.,Amritpal Singh Bhachu
Erwerb rekursiver Programmiertechniken als Induktion von Konzepten und Regeln - ein kognitionswissenschaftlicher Zugang zum Erwerb kognitiver Fertigkeiten.,Mohamed Medhat Gaber
Erwerb rekursiver Programmiertechniken als Induktion von Konzepten und Regeln - ein kognitionswissenschaftlicher Zugang zum Erwerb kognitiver Fertigkeiten.,Pietro Coli
Erwerb rekursiver Programmiertechniken als Induktion von Konzepten und Regeln - ein kognitionswissenschaftlicher Zugang zum Erwerb kognitiver Fertigkeiten.,James P. M. Ntozi
Existenz einer Lösung für die nichtlineare Elastizitätstheorie mit Anwendung in der Herzmechanik.,Amritpal Singh Bhachu
Existenz einer Lösung für die nichtlineare Elastizitätstheorie mit Anwendung in der Herzmechanik.,Mohamed Medhat Gaber
Existenz einer Lösung für die nichtlineare Elastizitätstheorie mit Anwendung in der Herzmechanik.,Pietro Coli
Existenz einer Lösung für die nichtlineare Elastizitätstheorie mit Anwendung in der Herzmechanik.,James P. M. Ntozi
Expertise und Praktise - zum Einfluß von Expertisegrad und -typ auf die Entwurfsprozesse in zwei Architektenteams.,Amritpal Singh Bhachu
Expertise und Praktise - zum Einfluß von Expertisegrad und -typ auf die Entwurfsprozesse in zwei Architektenteams.,Mohamed Medhat Gaber
Expertise und Praktise - zum Einfluß von Expertisegrad und -typ auf die Entwurfsprozesse in zwei Architektenteams.,Pietro Coli
Expertise und Praktise - zum Einfluß von Expertisegrad und -typ auf die Entwurfsprozesse in zwei Architektenteams.,James P. M. Ntozi
Expertise und Praktise - zum Einfluß von Expertisegrad und -typ auf die Entwurfsprozesse in zwei Architektenteams.,André Frank Krause
Extraktion von linienförmigen Merkmalen und Ermittlung des optischen Flusses mit seinen Ableitungen aus Voll- und Halbbildfolgen.,Amritpal Singh Bhachu
Extraktion von linienförmigen Merkmalen und Ermittlung des optischen Flusses mit seinen Ableitungen aus Voll- und Halbbildfolgen.,Mohamed Medhat Gaber
Extraktion von linienförmigen Merkmalen und Ermittlung des optischen Flusses mit seinen Ableitungen aus Voll- und Halbbildfolgen.,Pietro Coli
Extraktion von linienförmigen Merkmalen und Ermittlung des optischen Flusses mit seinen Ableitungen aus Voll- und Halbbildfolgen.,James P. M. Ntozi
Fairness in electronic commerce.,Amritpal Singh Bhachu
Fairness in electronic commerce.,Mohamed Medhat Gaber
Fairness in electronic commerce.,Pietro Coli
"Fallbasiertes Klassifizieren - Methoden, Integration und Evaluation.",Amritpal Singh Bhachu
"Fallbasiertes Klassifizieren - Methoden, Integration und Evaluation.",Mohamed Medhat Gaber
"Fallbasiertes Klassifizieren - Methoden, Integration und Evaluation.",Pietro Coli
"Fallbasiertes Klassifizieren - Methoden, Integration und Evaluation.",James P. M. Ntozi
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",Amritpal Singh Bhachu
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",Mohamed Medhat Gaber
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",Pietro Coli
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",James P. M. Ntozi
Feature-Logik und Semiunifikation.,Amritpal Singh Bhachu
Feature-Logik und Semiunifikation.,Mohamed Medhat Gaber
Feature-Logik und Semiunifikation.,Pietro Coli
Fehlersuche in großen Datenmengen unter Verwendung der in den Daten vorhandenen Redundanz.,Amritpal Singh Bhachu
Fehlersuche in großen Datenmengen unter Verwendung der in den Daten vorhandenen Redundanz.,Mohamed Medhat Gaber
Fehlersuche in großen Datenmengen unter Verwendung der in den Daten vorhandenen Redundanz.,Pietro Coli
"Fibrations, logical predicates and indeterminates.",Amritpal Singh Bhachu
"Fibrations, logical predicates and indeterminates.",Mohamed Medhat Gaber
"Fibrations, logical predicates and indeterminates.",Pietro Coli
Finding bottlenecks in large scale parallel programs.,Amritpal Singh Bhachu
Finding bottlenecks in large scale parallel programs.,Mohamed Medhat Gaber
Finding bottlenecks in large scale parallel programs.,Pietro Coli
