paper,keywords,topics
Towards practical and fundamental limits of anonymity protection.,fundamental:practical,Discrete Mathematics
Analytische Bewertung relationaler Datenbankmaschinen.,bewertung:relationaler,Computational Engineering Finance and Science
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,variablen:koeffizienten:abbildungseigenschaften,Computers and Society
Temporal verification with transition invariants.,verification:invariants.,Data Structures and Algorithms
"Predicting DNA binding sites using generative, discriminative, and hybrid learning principles.",principles.:using:binding,Numerical Analysis
Darstellungen und Berechenbarkeit reeller Zahlen.,reeller:zahlen.:berechenbarkeit,Multiagent Systems
Comprehending queries.,queries.,Digital Libraries
Reinforcement-Lernen in der Robotik.,reinforcement-lernen,Social and Information Networks
Thalamic neurons in silico.,thalamic:silico.,Sound
Augmentierte Bildsynthese.,bildsynthese.,Software Engineering
Zuverlässiger verteilter Speicher mit transaktionaler Konsistenz.,speicher:konsistenz.:verteilter,Artificial Intelligence
Atomic architectural component recovery for program understanding and evolution - evaluation of atuomatic re-modelarization techniques and their integration in a semi-automatic method.,re-modelarization:component:semi-automatic,Information Theory
Netzlängenbasierte Abschätzung des Zeitverhaltens in einem top-down VLSI-Entwurfsystem.,vlsi-entwurfsystem.:netzlängenbasierte:zeitverhaltens,Cryptography and Security
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,verarbeitung:gleichen:hornklausel-wissensbasen,Computers and Society
Proof reconstruction in classical and non-classical logics.,reconstruction:logics.,Emerging Technologies
Telekommunikation im Bankgeschäft - ein ganzheitliches Gestaltungskonzept für innovative Telekommunikationssysteme im elektronischen Bankgeschäft.,elektronischen:telekommunikationssysteme:innovative,Artificial Intelligence
A theoretical framework for reasoning about program construction based on extensions of rewrite systems.,reasoning:program,Multimedia
Schema-unabhängige Anfragesprachen für relationale Datenbanken.,datenbanken.:relationale:schema-unabhängige,Machine Learning
Entwurfsunterstützung für graphische Bedienungsoberflächen.,graphische:entwurfsunterstützung,Digital Libraries
Positiv repräsentierende Klassifikationsnetze - die Entwicklung eines neuartigen Klassifikationsnetzes für ein überwachtes Training während der Klassifikation.,repräsentierende:positiv,Discrete Mathematics
Unscharfe zeitlogische Modellierung von Situationen und Handlungen in Bildfolgenauswertung und Robotik.,handlungen:modellierung:robotik.,Robotics
Defaults in deduktiven Datenbanken.,defaults:deduktiven,Sound
Benutzermodellierung für ein adaptives intelligentes Lernsystem.,benutzermodellierung:intelligentes,Computational Complexity
"Automatically proving the correctness of translations involving optimized code - research sponsored by Advanced Research Projects Agency, ARPA order no. 2494.",research:code,Human-Computer Interaction
An efficient and flexible implementation of aspect-oriented languages.,efficient:languages.:implementation,Formal Languages and Automata Theory
Entwurfstheorie und Entwurfsdatenmodellierung für CAD-Frameworks.,cad-frameworks.:entwurfstheorie,Discrete Mathematics
Contribution a l'etude des operations sur les langages et des operateurs sur les familles de langages.,contribution:et:sur,Symbolic Computation
Controlling exoskeletons with EMG signals and a biomechanical body model.,model.:body,Computer Science and Game Theory
Learning as knowledge integration.,learning:integration.,Computational Engineering Finance and Science
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,technischer:systeme.:dynamischer,Numerical Analysis
Hyperedge replacement - grammars and languages.,hyperedge:replacement:languages.,Computational Complexity
Counter examples in semantic tableaux.,counter:examples:semantic,Human-Computer Interaction
Hierarchical modeling and analysis of timed systems.,hierarchical:systems.:modeling,General Literature
Monitoring of multicast networks for time-synchronous communication.,multicast:networks,Information Theory
Graphembasierte On-line-Erkennung fließender Handschrift.,on-line-erkennung:graphembasierte:handschrift.,Other Computer Science
Methoden und Werkzeuge zur visuellen objektorientierten Programmierung.,werkzeuge:methoden,Networking and Internet Architecture
Exploratives Konfigurieren - über die Unterstützung des Benutzers bei computergestützten explorativen Tätigkeiten.,explorativen:benutzers:unterstützung,Multiagent Systems
Digitale symmetrische gedächtnisbehaftete Übertragungskanäle.,gedächtnisbehaftete:digitale:symmetrische,Digital Libraries
Automatische Musterklassifikation mit hierarchischen Fuzzy-Regelbasen.,automatische:hierarchischen:musterklassifikation,Digital Libraries
A massively parallel numerical ordinary differential equation solver.,numerical:differential:solver.,Formal Languages and Automata Theory
Kortikale Karten und präattentive Wahrnehmung - über Segmentierungsleistungen und die Geometrie der Reizrepräsentation.,karten:präattentive,Neural and Evolutionary Computing
Verification of Branching-Time and Alternating-Time Properties for Exogenous Coordination Models.,exogenous:alternating-time,Computational Complexity
Berechnungskomplexität der Erkennung der semantischen Unabhängigkeit von Relationen.,semantischen:erkennung,Machine Learning
Optimierte Software-Verteilung in graphischen Rechnerverbundsystemen.,rechnerverbundsystemen.:graphischen:optimierte,Computation and Language
Optimierung von Datenbanksystemen zur Verwaltung von Fuzzy-Daten.,optimierung:datenbanksystemen:verwaltung,Discrete Mathematics
Interaktive Dialogtechniken für blinde Rechnerbenutzer.,interaktive:dialogtechniken,Computational Engineering Finance and Science
"Ein für Hornklauselmengen lineares, allgemeines aussagenlogisches Beweisverfahren.","aussagenlogisches:lineares,",Data Structures and Algorithms
Algorithms and a software system for comparative genome analysis.,software:comparative:algorithms,Human-Computer Interaction
Unterstützung expliziter Articulation Work - Interaktive Externalisierung und Abstimmung mentaler Modelle.,interaktive:abstimmung:articulation,Human-Computer Interaction
"DAS Datenbank-Kernsystem für Standard- und Nicht-Standard-Anwendungen - Architektur, Implementierung, Anwendungen.","architektur,:nicht-standard-anwendungen:anwendungen.",Hardware Architecture
Analyse von binären Dokumentbildern.,binären:analyse,Databases
Scientific visualization in virtual reality - interaction techniques and application development.,scientific:application,Computation and Language
Das Einführen neuer Prädikate in der induktiven logischen Programmierung.,induktiven:logischen,Performance
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,präsentationsgrafiken.:gestalt-erkennung,Networking and Internet Architecture
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,luftbildauswertung.:objektlokalisation,Information Theory
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,dreidimensionaler:erzeugung:automatische,Numerical Analysis
A proof system for a sequential object-based language.,language.:object-based,Formal Languages and Automata Theory
Prozessorzuteilung unter harten Realzeitanforderungen in dedizierten Systemen.,harten:realzeitanforderungen,Networking and Internet Architecture
Embedding hardware description languages in proof systems.,proof:embedding:description,Artificial Intelligence
Die Multiplikatoralgebra einer Banachalgebra mit approximativer Eins.,approximativer:banachalgebra,Computer Science and Game Theory
A systematic study of infinite canonical systems generated by Knuth-Bendix completion and related problems.,infinite:generated:systematic,Symbolic Computation
Formal verification of pipelined microprocessors.,formal:verification,Computation and Language
Signalinterpretation mit neuronalen Netzen unter Nutzung von modellbasiertem Nebenwissen am Beispiel der Verschleißüberwachung von Werkzeugen in CNC-Drehmaschinen.,cnc-drehmaschinen.:werkzeugen:verschleißüberwachung, Computational Geometry
"Raytracing mit BSP-Volumen - ein globales, physikalisch-basiertes Beleuchtungsmodell.","physikalisch-basiertes:globales,",Computational Complexity
A tactic-based inductive theorem prover for data types with partial operations.,operations.:types,Computer Vision and Pattern Recognition
Recursive definitions of partial functions and their computations.,functions:recursive,Digital Libraries
Modeling Visit Potential of Geographic Locations Based on Mobility Data.,locations:visit,Distributed Parallel and Cluster Computing
Incremental multi view 3D reconstruction with application to disaster management.,application:view,Other Computer Science
Rechnerunterstützung für die Software-Entwicklung in maschinennahen Programmiersprachen.,programmiersprachen.:maschinennahen,Emerging Technologies
Die virtuelle Universität - Konzept und Architektur am Beispiel der FernUniversität Hagen.,fernuniversität:konzept,Computers and Society
Ein Rahmenwerk für die qualitative Analyse der Paarprogrammierung.,qualitative:paarprogrammierung.,Performance
Circle planarity of level graphs.,circle:graphs.,Computer Science and Game Theory
A structural classification of protein-protein interactions for detection of convergently evolved motifs and for prediction of protein binding sites on sequence level.,motifs:prediction,Emerging Technologies
Multidimensional data management in mobile environments.,data:management,Information Retrieval
On the structure of interactable complexity classes.,classes.:complexity,Symbolic Computation
On the simulation order of proof systems.,proof:simulation:systems.,Digital Libraries
Some extensional term models for combinatory logics and l - calculi.,term:logics,Networking and Internet Architecture
Rendering for free form deformations.,free:deformations.,Cryptography and Security
Users and computers - a contextual approach to design of computer artifacts.,users:computers:design,Operating Systems
"Universe Types - Topology, Encapsulation, Genericity, and Tools.","tools.:topology,:universe",Computers and Society
Representation and processing of knowledge about distances in environmental spaces - a computational model of inferred route distances investigating their qualitative and quantitative determinants.,computational:representation:qualitative,Programming Languages
Design and implementation of an or-parallel Prolog engine.,or-parallel:prolog:engine.,Sound
Optimierung eines Meßsystems zur Bestimmung der Oberflächendichte.,oberflächendichte.:bestimmung:meßsystems,Multiagent Systems
Modelle und Algorithmen für mobile Datenobjekte und Umgebungen.,umgebungen.:datenobjekte:modelle,Cryptography and Security
Hierarchische Mehr-Ebenen-Fehlersimulation mit Modellen der Schalter-Ebene.,mehr-ebenen-fehlersimulation:modellen,Mathematical Software
Abstract behaviour of distributed executions with applications to visualization.,behaviour:applications,Emerging Technologies
Individual mobile communication services and tariffs.,communication:tariffs.,Computational Engineering Finance and Science
Entwurf und Analyse nichtlinearer Diffusionsverfahren für die Bildverarbeitung.,bildverarbeitung.:analyse:entwurf,Programming Languages
Prioritätszählerautomaten und die Synchronisation von Halbspursprachen.,halbspursprachen.:synchronisation,Cryptography and Security
Resolution für quantifizierte Bool'sche Formeln.,resolution:bool'sche,Programming Languages
Boolean hierarchies - on collapse properties and query order.,query:hierarchies,Computational Engineering Finance and Science
Design of congestion avoidance mechanisms for communication systems using computational-intelligence-based methods.,using:design:mechanisms,Performance
Systemobjektorientierte strukturierte Analyse und dienstorientierter Entwurf als Konstruktionsmethodik im Rahmen einer Informatiksystemtechnik.,rahmen:strukturierte,Operating Systems
A functional framework for efficient web-based scientific visualization systems.,web-based:framework,Logic in Computer Science
Fairness in electronic commerce.,fairness:commerce.,Artificial Intelligence
New Concepts for Parallel Object-Relational Query Processing.,query:concepts:parallel,Databases
Lexikalische Nachverarbeitung bei der computergestützten Erkennung von Wörtern.,computergestützten:erkennung,Software Engineering
Graphgrammatiken und Grapheinbettungen - Algorithmen und Komplexität.,graphgrammatiken:algorithmen,Symbolic Computation
Computational applications of calculi based on monads.,based:calculi,Data Structures and Algorithms
Knowledge tracking - a method to analyze cognitive structures.,method:tracking:structures.,Emerging Technologies
Adaptive layout of dynamic web pages.,adaptive:dynamic:layout,Machine Learning
"The role of features and aspects in software development: similarities, differences, and synergetic potential.",features:synergetic,Human-Computer Interaction
Discrete approximation of spaces - a uniform approach to topologically structured datatypes and their function spaces.,spaces:uniform:approach,Networking and Internet Architecture
Komplexitätstheoretische Untersuchungen an myopischen Polyautomaten.,polyautomaten.:komplexitätstheoretische:untersuchungen,Computation and Language
Beschränkungen der Hypothesensprache und ihre Repräsentation in der induktiven logischen Programmierung.,repräsentation:hypothesensprache,Discrete Mathematics
Erwerb rekursiver Programmiertechniken als Induktion von Konzepten und Regeln - ein kognitionswissenschaftlicher Zugang zum Erwerb kognitiver Fertigkeiten.,programmiertechniken:kognitionswissenschaftlicher,Systems and Control
Spezifikation und Generierung anwendungsspezifischer Programmierschnittstellen in der STEP-Produktdatentechnologie.,spezifikation:anwendungsspezifischer:step-produktdatentechnologie.,Numerical Analysis
Increasing robustness and usability of circuit design tools by using formal techniques.,using:usability:design,Machine Learning
A formal approach to object-oriented software engineering.,engineering.:formal, Computational Geometry
Die Konjugationsdarstellung lokalkompakter Gruppen.,lokalkompakter:konjugationsdarstellung,Cryptography and Security
A graph-based appproach to resolution in temporal logic.,graph-based:resolution,Cryptography and Security
An object-oriented database Kernel for spatio-temporal geo-applications.,geo-applications.:object-oriented,Performance
Effiziente Verfahren zur Befehlsanordnung.,effiziente:verfahren,Sound
External memory algorithms for geographic information systems.,external:systems.:geographic,Software Engineering
Relevanzanalyse - eine Kombination von Striktheits- und Datenflußanalyse zur effizienten Auswertung funktionaler Programme.,programme.:funktionaler:datenflußanalyse,General Literature
Effiziente Implementierung einer funktionalen Sprache zur Definition ausführbarer denotationaler Semantik.,effiziente:sprache,Databases
Klassische und objektorientierte Speicherungsorganisationen und Zugriffspfade für ein semantisches Datenbankmodell.,objektorientierte:klassische,Computer Vision and Pattern Recognition
Continuous queries over data stream - semantics and implementation.,queries:stream:continuous,Information Retrieval
Cones d'accepteurs application a l'etude d'une hierarchie infinie de cones rationnels de langages d'accepteurs verificateurs.,rationnels:infinie,Data Structures and Algorithms
On modeling the spatiotemporal processing characteristics of the retina.,spatiotemporal:retina.:processing,Cryptography and Security
Eine datengesteuerte Datenbankmaschine auf der Grundlage eines funktionalen Datenbankmodells.,datenbankmodells.:funktionalen:datenbankmaschine,Robotics
Aspektorientierung und Programmfamilien im Betriebssystembau.,betriebssystembau.:programmfamilien,Emerging Technologies
Modulare Datentypdefinitionen und ihre Beziehungen zur Logik erster Stufe.,beziehungen:stufe.,Computational Engineering Finance and Science
"Modellbasierte, interaktive Wissensakquisition und Dokumentation von Domänenwissen (MIKADO).","modellbasierte,:(mikado).",Networking and Internet Architecture
Analyse des Äquivalenzbegriffs von CIRCAL im Hinblick auf die Implementierung eines Verifikationssystems.,analyse:circal:implementierung,Hardware Architecture
Dynamic Network Selection for Optimized Use of Mobile Internet.,use:selection,Systems and Control
Analyse von Rechensystemen mit zwei Auftragsklassen und beliebigen Bedienungszeiten.,rechensystemen:zwei:auftragsklassen,Emerging Technologies
Entdeckung eines gemeinsamen Schnitts von k konvexen Objekten.,schnitts:konvexen,Computation and Language
A 3d geoscience information system framework.,system:geoscience,Machine Learning
Glättungskriterien und Algorithmen zum Modellieren von Kurven und Oberflächen.,oberflächen.:algorithmen, Computational Geometry
Lastverteilung für feinkörnig parallelisiertes Branch-and-Bound.,feinkörnig:parallelisiertes:branch-and-bound.,Computer Vision and Pattern Recognition
Algorithms for constraints in deduction and knowledge representation.,representation.:knowledge,Sound
Closed streamlines in flow visualization.,visualization.:closed,Symbolic Computation
Parallele Implementierung funktionaler Programmiersprachen.,programmiersprachen.:implementierung:funktionaler,Performance
Automating the logic synthesis of arithmetic-logic-units.,logic:synthesis:automating,Networking and Internet Architecture
Kontextobjektmodell für Entwurfsanwendungen.,entwurfsanwendungen.,Graphics
Grafische Wissensakquisitionssysteme und ihre Generierung.,generierung.:grafische,Multiagent Systems
Real computability and hypercomputation.,real:computability,Robotics
Deterministic languages and monadic recursion schemes.,monadic:recursion,Robotics
Ein multifunktionaler Büroarbeitsplatz für Blinde.,multifunktionaler:blinde.,Systems and Control
Automatische Personenerkennung durch biometrische Merkmale mit Hilfe neuronaler Netze.,automatische:neuronaler:merkmale,Computer Vision and Pattern Recognition
Ein Beweisverfahren für die Prädikatenlogik.,beweisverfahren,Multiagent Systems
"Korrekter Entwurf und Verifikation verteilter Systeme - the temporal logic of transitions, ein unterstützender Rahmen.",systeme:verteilter:temporal,Other Computer Science
Rewrite operationalization of clausal specifications with predefined structures.,rewrite:clausal:specifications,Emerging Technologies
Konzepte für eine persistente Programmiersprache.,programmiersprache.:konzepte,Discrete Mathematics
Analytische Lösung von diskreten Einbedienersystemen mit Semi-Markov Ankünften.,ankünften.:lösung:semi-markov,Formal Languages and Automata Theory
Problemzerlegung durch Nadelöhrmengen - ein modellbasierter Ansatz zur Akquisition von Kontrollwissen für Planungssysteme.,kontrollwissen:planungssysteme.,Cryptography and Security
Human oriented proof presentation - a reconstructive approach.,proof:approach.:oriented,Emerging Technologies
Logic-based representation and reasoning for user modeling shell systems.,modeling:systems.:shell,Computational Engineering Finance and Science
Vector quantization based learning algorithms for mixed data types and their application in cognitive support systems for biomedical research.,vector:biomedical:mixed,Systems and Control
Untersuchungen zur Komplexität des Graphenisomorphie-Problems mit Hilfe von Graph-Grammatiken.,hilfe:graphenisomorphie-problems:graph-grammatiken.,Computational Complexity
Hardware-Unterstützung für Smalltalk-80.,smalltalk-80.,Software Engineering
Sustained Operation of Sensor Nodes with Energy Harvesters and Supercapacitors.,harvesters:sustained,Computational Complexity
Wissensbasierte Verfahren für den automatischen Entwurf von Gebrauchsgraphik in der technischen Dokumentation.,technischen:dokumentation., Computational Geometry
Signaturen in Datenbanksystemen.,signaturen,Cryptography and Security
Definition und Auswertung erweiterter Fehlerbäume für die Zuverlässigkeitsanalyse technischer Systeme.,definition:fehlerbäume,Cryptography and Security
Strukturbasierte Programmgenerierung für massiv parallele Rechensysteme.,parallele:massiv:strukturbasierte,Other Computer Science
Integration von Konzepten der objektorientierten und logischen Programmierung.,programmierung.:objektorientierten:logischen,Robotics
Third Generation Web APIs - Bridging the Gap between REST and Linked Data.,linked:data.,Data Structures and Algorithms
Künstliche neuronale Netzwerke in der Molekularbiologie.,künstliche:netzwerke:neuronale,Symbolic Computation
Methoden des maschinellen Lernens für den interaktiven Wissenserwerb.,methoden:wissenserwerb.:maschinellen,Sound
"Modelle nebenläufiger Prozesse - Monoide, Residuensysteme und Automaten.",residuensysteme:automaten.:nebenläufiger,Computational Complexity
Sicherheitsmodellierung und Zugriffskonstrolle in verteilten Systemen - digitale Mehrparteien-Zertifizierung (MPZ) für mehrparteiengerechte Systemsicherheit.,verteilten:systemsicherheit.,Information Retrieval
Datenverwaltung in vektorraumorientierten Information-Retrieval-Systemen unter spezieller Berücksichtigung laser-optischer Plattenspeicher.,berücksichtigung:information-retrieval-systemen,Databases
Modellierung und Manipulation von Bild- und Grafikdaten mit neuronalen Netzen.,grafikdaten:neuronalen:netzen.,Performance
Parametergesteuertes Software Radio für Mobilfunksysteme.,mobilfunksysteme.:software:parametergesteuertes,Multimedia
Novel methods for the analysis of small molecule fragmentation mass spectra.,fragmentation:analysis:small,Information Theory
Spatial data types for database systems.,types:spatial,General Literature
Optimierung relationen-algebraischer Anfragen.,anfragen.:optimierung,Human-Computer Interaction
A constructive theory for diagram design and its algorithmic implementation.,theory:constructive:algorithmic,Systems and Control
Geschichts- und Versionsmodellierung komplexer Objekte - Anforderungen und Realisierungsmöglichkeiten am Beispiel des NDBS PRIMA.,prima.:geschichts-,Multimedia
Oblivious-transfer amplification.,amplification., Computational Geometry
Die Ermittlung struktureller Ähnlichkeit und struktureller Merkmale bei komplexen Objekten - ein konnektionistischer Ansatz und seine Anwendungen.,konnektionistischer:merkmale,Performance
Die Snack-Potenzkonstruktion - Grundlage einer Semantik genesteter Datenbanken.,grundlage:semantik:genesteter,Multimedia
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,synchronisation:dateibäumen,Databases
Multi-touch interaction with stereoscopically rendered 3D objects.,objects.:multi-touch:stereoscopically,Hardware Architecture
Virtual endoscopy for preoperative planning and training of endonasal transsphenoidal pituitary surgery.,planning:training,Neural and Evolutionary Computing
Kernels for structured data.,data.:kernels,Graphics
An algorithmic framework for checking coverability in well-structured transition systems.,well-structured:checking,Hardware Architecture
Die Falsifikation von Programmrelationen durch den Vergleich von Simulationsergebnissen.,programmrelationen:falsifikation:vergleich,General Literature
Ray-based Image Generation for Advanced Medical Applications.,ray-based:applications.:medical,Multimedia
Novel processor architecture based on auto data sequencing and low level parallelism.,auto:processor,Systems and Control
Optimierung von logischen Formeln in Hinblick auf Herleitungsfragen.,formeln:optimierung,Neural and Evolutionary Computing
Kontext-sensitive Lastbalancierung.,kontext-sensitive,Machine Learning
Learning expressive linkage rules for entity matching using genetic programming.,matching:programming.:using,Data Structures and Algorithms
Effiziente Normalform-Algorithmen für Ersetzungssysteme über frei partiell kommutativen Monoiden.,kommutativen:partiell:monoiden.,Systems and Control
Method for the design of embedded fault-tolerant computers for process control and design example.,design:example.:method,Computers and Society
Wissensbasierte Umgebung für aktivitätsabhängiges exploratorisches Lernen.,aktivitätsabhängiges:lernen.,Emerging Technologies
Relevancy-based use of lemmas in connection tableau calculi.,connection:lemmas:tableau,Robotics
Lokale Eigenschaften in der algorithmischen Geometrie mit Anwendungen in der Parallelverarbeitung.,eigenschaften:algorithmischen,Emerging Technologies
Integration von Freiformgeometrien in verteilte CAx-Systeme.,integration:verteilte:cax-systeme.,Computers and Society
Modellierung dynamischer Systeme mit vorstrukturierten neuronalen Netzen.,systeme:netzen., Computational Geometry
Non-Convex and Multi-Objective Optimization in Data Mining - Non-Convex and Multi-Objective Optimization for Statistical Learning and Numerical Feature Engineering.,non-convex:statistical,Computer Vision and Pattern Recognition
Cluster-Verfahren für Mengen geometrischer Objekte.,geometrischer:objekte.:cluster-verfahren,Performance
Stabilitäts- und Qualitätsanalyse von Freiformflächen.,qualitätsanalyse:freiformflächen.,Performance
Ein integriertes Verfahren zur effizienten Planung und Ausführung von Roboterbewegungen in unscharfen Umgebungen.,umgebungen.:unscharfen,Computational Engineering Finance and Science
An approach to support interoperable systems - the meta-level description of type transformation.,systems:meta-level:interoperable,Machine Learning
"PPO, eine objektorientierte Prolog-Erweiterung zur Entwicklung wissensbasierter Anwendungssysteme.",entwicklung:anwendungssysteme.:wissensbasierter,Computer Vision and Pattern Recognition
Investigating the influence of situations and expectations in user behavior - empirical analysis in human-robot interaction.,empirical:human-robot,Information Retrieval
Dependency-based groundness analysis of functional logic programs.,logic:programs.:groundness,Databases
Konsistenzsicherung in graphischen Anwendungen.,graphischen:anwendungen.,Computer Vision and Pattern Recognition
Non-asymptotic performance evaluation and sampling-based parameter estimation for communication networks with long memory traffic.,sampling-based:networks,Programming Languages
Optimierung von Fuzzy-Entscheidungssystemen mittels konnektionistischer Methoden.,methoden.:fuzzy-entscheidungssystemen,Graphics
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,bayes'scher:netze,Computational Engineering Finance and Science
Ultrasound Mosaicing and Motion Modeling - Applications in Medical Image Registration.,medical:modeling:mosaicing,Operating Systems
The development and implementation of a performance database server.,performance:server.:implementation,Other Computer Science
"Auswertung rekursiver Anfragen in deduktiven Datenbanksystemen - eine Untersuchung der Strategien, des Leistungsverhaltens und der Realisierungsmöglichkeiten.","untersuchung:deduktiven:strategien,",Formal Languages and Automata Theory
Multi-touch selection and interaction on and above the surface.,selection:multi-touch:surface.,Artificial Intelligence
Technikwissenschaftliche Wissensproduktion durch Wissenstransformation - eine erkenntnistheoretische Untersuchung.,wissensproduktion:untersuchung.,Computer Vision and Pattern Recognition
Stochastic algorithms in scheduling theory.,stochastic:theory.,Computation and Language
Algebraic domain decomposition.,algebraic:decomposition.,Operating Systems
XML Functional Dependencies Based on Tree Homomorphisms.,tree:dependencies,Mathematical Software
Adaption der Topologie von Kohonen-Karten durch genetische Algorithmen.,topologie:algorithmen.:genetische,Digital Libraries
"Eine echtzeitfähige, reflexive Kollisionsvermeidung mit starker Bindung an eine Referenzbahn für einen autonomen mobilen Roboter.","bindung:referenzbahn:echtzeitfähige,",Multimedia
Distributed simulation using relaxed timing.,relaxed:simulation:distributed,Multiagent Systems
Rechnergestützte Anwendung der allgemeinen Intermittent-Assertion-Methode auf while-Konstrukte.,anwendung:intermittent-assertion-methode,Sound
Berechnung von Gewichtsverteilungen bei primitiven binären Bose-Chaudhuri-Hocquenghem Codes.,codes.:gewichtsverteilungen,Logic in Computer Science
XML Information Retrieval in Verteilten Systemen.,xml:information,Discrete Mathematics
EDIS - eine objektorientierte Software-Architektur für graphische Editoren.,graphische:editoren.:edis,Symbolic Computation
Testmusterbeschaffung aus algorithmischen Beschreibungen.,algorithmischen:testmusterbeschaffung,Discrete Mathematics
Optimierte Protokolle für Web Services mit begrenzten Datenraten.,services:web:begrenzten,Cryptography and Security
Computational aspects of an order-sorted logic with term declarations.,declarations.:aspects,Databases
Contribution a l'etude de la complexite structurelle des langages algebriques.,structurelle:contribution:l'etude,Multimedia
Constraint-Netze als Grundlage für Bottom-up Planungsansätze in der Unternehmensmodellierung.,bottom-up:grundlage,Sound
Zur Komplexität von Überführungsfunktionen in Zellularräumen.,zellularräumen.:überführungsfunktionen,Mathematical Software
System-Entwurfsgraphen - Definition und Verfahren.,definition:system-entwurfsgraphen,Neural and Evolutionary Computing
Techniques and heuristics for acquiring symbolic knowledge from examples.,examples.:symbolic:knowledge,Formal Languages and Automata Theory
Analyse von Mehrbediener-Prioritätensystemen mit semimarkovschen Ankunftsprozessen und phasenverteilten Bedienzeiten.,analyse:mehrbediener-prioritätensystemen:semimarkovschen,Discrete Mathematics
Fehlersuche in großen Datenmengen unter Verwendung der in den Daten vorhandenen Redundanz.,großen:redundanz.,Hardware Architecture
Sensor-actuator supported implicit interaction in driver assistance systems.,implicit:assistance:sensor-actuator,Data Structures and Algorithms
Erkennung und Vermeidung von unkooperativem Verhalten in Peer-to-Peer-Datenstrukturen.,erkennung:verhalten:peer-to-peer-datenstrukturen.,Human-Computer Interaction
Ein integriertes wissensbasiertes Tutorsystem für die Ausbildung in objektorientierter Programmierung.,tutorsystem:wissensbasiertes:objektorientierter,Performance
Wissensbasierte Entwicklungsumgebung für Bildanalysesysteme aus dem industriellen Bereich.,bereich.:industriellen,Discrete Mathematics
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,visuelle:netzen., Computational Geometry
Zur algorithmischen Zerlegung polynomialer Gleichungssysteme.,gleichungssysteme.:polynomialer,Logic in Computer Science
Etude de problemes d'optimisation dans les systemes distribues.,etude:dans,Computer Vision and Pattern Recognition
A framework for planning with incrementally created graphs in attributed problem spaces.,graphs:spaces.:planning,Graphics
The theory of interacting deductions and its application to operational semantics.,semantics.:theory,Distributed Parallel and Cluster Computing
"A Uniform, OpenCL-based Approach for Programming Distributed System With Multicores and GPUs.",approach:opencl-based:distributed,Computation and Language
Evolutionary optimization in dynamic environments.,optimization:dynamic:evolutionary,Symbolic Computation
Aussprachewörterbücher zur automatischen Spracherkennung.,spracherkennung.:aussprachewörterbücher,Hardware Architecture
Strukturuntersuchungen verschiedener Komplexitätsmaße für die Kommunikation zwischen zwei Prozessoren.,prozessoren.:verschiedener,General Literature
"Object-oriented 3D modeling, animation and interaction.","animation:interaction.:modeling,",Computation and Language
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,hilfe:trajektorien:kinematischer,Symbolic Computation
Darstellungsform positiv angeordneter Halbgruppen.,angeordneter:halbgruppen.:positiv,General Literature
Partielle Auswertung imperativer Sprachen.,imperativer:auswertung:partielle,General Literature
Bedienergesteuerte Anpassung einer Benutzungsoberfläche unter Berücksichtigung verschiedener Dialogformen und Interaktionstechniken.,bedienergesteuerte:verschiedener:anpassung,Neural and Evolutionary Computing
3D magic lenses and virtual reflections - real-time approaches for improving interactive visualization.,3d:magic,Discrete Mathematics
Die schemabasierte Modellierung und Steuerung von Projektvorgängen.,steuerung:modellierung:projektvorgängen.,Computation and Language
Action-based collaboration analysis for group learning.,collaboration:group,Distributed Parallel and Cluster Computing
Techniques for avoiding redundancy in theorem proving based on the connection method.,proving:connection,Systems and Control
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,fertigungssysteme.:flexibler:integrierte,Distributed Parallel and Cluster Computing
Automatische visuelle Klassifikation von Dokumenten.,automatische:dokumenten.:klassifikation,General Literature
Spielbaumsuche mit massiv parallelen Systemen.,systemen.:massiv,Information Theory
Organisationsverwaltung in CSCW-Systemen.,organisationsverwaltung,Information Theory
Advancing evolution of artificial neural networks through behavioral adaptation.,adaptation.:evolution,General Literature
Multi-Transputer-Maschine zur parallelen Reduktion von Funktionalsprachenprogrammen.,funktionalsprachenprogrammen.:multi-transputer-maschine,Cryptography and Security
Bildhierarchiebäume als Grundlage für die statische Konstruktion von Benutzerschnittstellen.,statische:grundlage,Programming Languages
Ansätze zu funktionsorientierten Prozessrechnerstrukturen.,ansätze:funktionsorientierten,Computational Complexity
